Hero,PickRateGuardian,WinRateGuardian,PickRateArchon,WinRateArchon,PickRateLegend,WinRateLegend,PickRateAncient,WinRateAncient,PickRateDivine,WinRateDivine
Anti-Mage,15.33%,49.34%,15.67%,49.49%,15.89%,50.90%,15.87%,49.93%,14.33%,48.42%
Axe,13.02%,51.44%,12.71%,50.72%,11.82%,50.05%,11.26%,50.03%,8.62%,49.41%
Bane,3.48%,48.81%,3.81%,51.05%,4.33%,53.24%,5.24%,51.76%,6.97%,52.72%
Bloodseeker,7.68%,52.98%,5.22%,55.13%,4.98%,55.55%,5.83%,54.54%,7.75%,54.55%
Crystal Maiden,18.22%,52.56%,16.43%,52.10%,15.07%,51.41%,14.14%,50.94%,12.67%,51.12%
Drow Ranger,18.74%,53.10%,16.32%,54.60%,16.32%,53.44%,17.05%,53.24%,15.77%,50.69%
Earthshaker,9.85%,48.39%,11.02%,48.81%,11.32%,49.32%,10.70%,49.69%,8.68%,49.31%
Juggernaut,23.22%,51.23%,23.43%,51.40%,22.02%,51.49%,19.68%,50.72%,14.12%,49.52%
Mirana,11.37%,52.09%,13.87%,52.00%,14.70%,52.47%,14.50%,52.85%,15.59%,54.10%
Morphling,9.54%,50.04%,10.57%,48.57%,11.50%,48.55%,12.51%,46.93%,13.39%,46.65%
Shadow Fiend,12.04%,48.76%,14.05%,48.32%,15.54%,47.73%,15.11%,47.98%,11.42%,49.22%
Phantom Lancer,7.11%,47.74%,5.44%,46.79%,4.76%,46.59%,4.75%,45.77%,5.46%,49.09%
Puck,2.99%,44.45%,4.04%,46.47%,4.98%,47.29%,5.63%,48.05%,6.70%,48.77%
Pudge,28.96%,50.72%,28.99%,49.94%,27.61%,48.29%,22.54%,48.17%,10.80%,45.30%
Razor,2.95%,47.90%,2.26%,49.45%,1.85%,50.76%,1.57%,52.53%,1.04%,50.44%
Sand King,5.17%,48.56%,6.13%,48.52%,6.77%,50.19%,7.47%,48.99%,8.13%,48.87%
Storm Spirit,8.24%,45.63%,9.73%,46.93%,11.01%,48.31%,11.58%,49.60%,12.85%,50.29%
Sven,16.26%,52.30%,14.67%,51.73%,14.20%,51.46%,13.80%,51.12%,13.64%,52.12%
Tiny,6.32%,43.99%,9.00%,45.95%,11.91%,46.73%,14.93%,47.61%,24.02%,48.92%
Vengeful Spirit,6.61%,52.68%,7.14%,53.86%,7.47%,52.80%,8.39%,53.00%,9.39%,51.43%
Windranger,19.46%,51.43%,20.43%,51.16%,21.56%,50.47%,21.75%,50.08%,20.04%,49.51%
Zeus,15.80%,55.37%,14.98%,54.19%,15.86%,54.07%,14.79%,53.08%,12.96%,51.56%
Kunkka,6.83%,44.68%,7.24%,46.74%,6.57%,46.11%,5.73%,46.02%,5.35%,48.47%
Lina,12.39%,45.33%,13.49%,47.36%,15.44%,48.42%,17.39%,49.47%,19.77%,50.53%
Lion,23.98%,47.77%,22.35%,46.34%,19.84%,47.49%,15.40%,47.47%,7.73%,47.05%
Shadow Shaman,12.02%,48.35%,9.80%,49.38%,8.37%,49.70%,6.92%,49.59%,5.68%,50.91%
Slardar,10.30%,50.79%,10.89%,50.84%,11.07%,52.13%,11.50%,51.59%,13.47%,52.41%
Tidehunter,6.73%,52.48%,7.42%,52.16%,6.70%,52.32%,5.94%,51.73%,5.31%,50.21%
Witch Doctor,18.85%,50.74%,17.07%,50.67%,14.88%,50.09%,12.78%,49.16%,8.45%,46.53%
